Job_id,Title,Vacancy URL,Company ID,Published,End_date,Salary Range min,Salary Range max,Location ID,company_id,Company name,Company URL,location_id,City,Region,Country
190,Cenu veidošanas analītiķis/-e,https://www.cv.lv/lv/vacancy/1000333/air-baltic-corporation-as/cenu-veidosanas-analitikis-e,108,2023-05-16,25.05.2023,2200.0,2400.0,5,108,Air Baltic Corporation AS,https://www.cv.lv/lv/search/employer/air-baltic-corporation-as?employerId=11287&employerName=Air Baltic Corporation AS,5,, Rīgas rajons,Latvia
191,Informācijas tehnoloģiju projektu attīstības nodaļas sistēmanalītiķis/-e - testētājs/-a,https://www.cv.lv/lv/vacancy/998009/nacionalais-veselibas-dienests/informacijas-tehnologiju-projektu-attistibas-nodalas-sistemanalitikis-e-testetajs-a,45,2023-05-10,25.05.2023,1487.0,,1,45,Nacionālais veselības dienests,https://www.cv.lv/lv/search/employer/nacionalais-veselibas-dienests?employerId=29548&employerName=Nacionālais veselības dienests,1, Rīga, Rīgas rajons,Latvia
192,Vecākais/ā eksperts/e izmaksu analīzes jomā Loģistikas plānošanas departamentā,https://www.cv.lv/lv/vacancy/998676/valsts-aizsardzibas-logistikas-un-iepirkumu-centrs/vecakais-a-eksperts-e-izmaksu-analizes-joma-logistikas-planosanas-departamenta,39,2023-05-16,25.05.2023,1600.0,1800.0,1,39,Valsts aizsardzības loģistikas un iepirkumu centrs,https://www.cv.lv/lv/search/employer/valsts-aizsardzibas-logistikas-un-iepirkumu-centrs?employerId=41152&employerName=Valsts aizsardzības loģistikas un iepirkumu centrs,1, Rīga, Rīgas rajons,Latvia
193,Klientu darījumu uzraudzības analītiķis(-e),https://www.cv.lv/lv/vacancy/998642/swedbank-as/klientu-darijumu-uzraudzibas-analitikis-e,10,2023-05-16,26.05.2023,1650.0,2450.0,1,10,Swedbank AS,https://www.cv.lv/lv/search/employer/swedbank-as?employerId=29215&employerName=Swedbank AS,1, Rīga, Rīgas rajons,Latvia
194,DATORTĪKLA ADMINISTRATORS/-E,https://www.cv.lv/lv/vacancy/999391/centrala-finansu-un-ligumu-agentura-cfla/datortikla-administrators-e,52,2023-05-15,28.05.2023,1403.0,1584.0,1,52,Centrālā finanšu un līgumu aģentūra (CFLA),https://www.cv.lv/lv/search/employer/centrala-finansu-un-ligumu-agentura-cfla?employerId=29208&employerName=Centrālā finanšu un līgumu aģentūra (CFLA),1, Rīga, Rīgas rajons,Latvia
195,System Analyst,https://www.cv.lv/lv/vacancy/999501/luminor-bank-as-latvijas-filiale/system-analyst,24,2023-05-15,05.06.2023,1810.0,2700.0,1,24,Luminor Bank AS Latvijas filiāle,https://www.cv.lv/lv/search/employer/luminor-bank-as-latvijas-filiale?employerId=29434&employerName=Luminor Bank AS Latvijas filiāle,1, Rīga, Rīgas rajons,Latvia
196,Senior finance analyst,https://www.cv.lv/lv/vacancy/996665/kronus-sia/senior-finance-analyst,75,2023-05-16,09.06.2023,2000.0,3800.0,1,75,KRONUS SIA,https://www.cv.lv/lv/search/employer/kronus-sia?employerId=14445&employerName=KRONUS SIA,1, Rīga, Rīgas rajons,Latvia
197,Biznesa analītikas (BI) eksperts/-e,https://www.cv.lv/lv/vacancy/996869/elva-baltic-sia/biznesa-analitikas-bi-eksperts-e,77,2023-05-16,09.06.2023,2500.0,3500.0,1,77,Elva Baltic SIA,https://www.cv.lv/lv/search/employer/elva-baltic-sia?employerId=17282&employerName=Elva Baltic SIA,1, Rīga, Rīgas rajons,Latvia
198,Datu ievades speciālists/-e,https://www.cv.lv/lv/vacancy/999383/sia-hillebrand-gori-baltic/datu-ievades-specialists-e,109,2023-05-16,15.06.2023,1024.0,1195.0,1,109,SIA Hillebrand Gori Baltic,https://www.cv.lv/lv/search/employer/sia-hillebrand-gori-baltic?employerId=25162&employerName=SIA Hillebrand Gori Baltic,1, Rīga, Rīgas rajons,Latvia
199,Data Engineer,https://www.cv.lv/lv/vacancy/1000288/eleving-consumer-finance-as/data-engineer,110,2023-05-16,16.06.2023,2700.0,3200.0,1,110,Eleving Consumer Finance AS,https://www.cv.lv/lv/search/employer/eleving-consumer-finance-as?employerId=65857&employerName=Eleving Consumer Finance AS,1, Rīga, Rīgas rajons,Latvia
200,Analyst in Intelligent Automation CoE,https://www.cv.lt/administravimo-darbai/administrative-assistant-in-sales-vilniuje-kaune-klaipedoje-1-402875369,100,2023-05-12,NaN,2680.0,4020.0,9,100,Danske Bank A/S Lietuvos filialas,NaN,9,Vilnius,Nan,Lithuania
201,Business Analyst in Capital Exposure Management,https://www.cv.lt/administravimo-darbai/administrative-assistant-in-sales-vilniuje-kaune-klaipedoje-1-402875369,100,2023-05-08,NaN,2680.0,4020.0,9,100,Danske Bank A/S Lietuvos filialas,NaN,9,Vilnius,Nan,Lithuania
202,Business Analyst in Capital Exposure Management,https://www.cv.lt/administravimo-darbai/administrative-assistant-in-sales-vilniuje-kaune-klaipedoje-1-402875369,100,2023-05-05,NaN,2680.0,4020.0,9,100,Danske Bank A/S Lietuvos filialas,NaN,9,Vilnius,Nan,Lithuania
203,Viešųjų finansų sistemos valdymo grupės finansų analitikas,https://www.cv.lt/teises-darbai/teises-personalo-ir-civilines-metrikacijos-skyriaus-vedejas-anyksciuose-3-402825149,106,2023-05-11,NaN,,,9,106,Lietuvos Respublikos finansų ministerija,NaN,9,Vilnius,Nan,Lithuania
204,"Ekonominės analizės skyriaus vyriausiasis specialistas (atlyginimas, atskaičius mokesčius - 900-1500 Eur)",https://www.cv.lt/valstybes-tarnyba/resocializacijos-skyriaus-psichologas-pareigines-algos-pastoviosios-vilniuje-2-402871461,107,2023-05-13,NaN,,,12,107,Valstybinė energetikos reguliavimo taryba,NaN,12,Other,Nan,Lithuania
205,Finansų politikos departamento Fiskalinės valdysenos skyriaus finansų analitikas,https://www.cv.lt/valstybes-tarnyba/resocializacijos-skyriaus-psichologas-pareigines-algos-pastoviosios-vilniuje-2-402871461,106,2023-05-08,NaN,,,9,106,Lietuvos Respublikos finansų ministerija,NaN,9,Vilnius,Nan,Lithuania
206,Junior Web Analytics,https://www.cv.lv/lv/vacancy/986160/scandiweb/junior-web-analytics,3,2023-05-15,17.05.2023,1200.0,1800.0,1,3,scandiweb,https://www.cv.lv/lv/search/employer/scandiweb?employerId=29385&employerName=scandiweb,1, Rīga, Rīgas rajons,Latvia
207,ANALĪTIĶIS/-E Maksājumu pakalpojumu sniedzēju uzraudzības grupā,https://www.cv.lv/lv/vacancy/986243/rietumu-banka-as/analitikis-e-maksajumu-pakalpojumu-sniedzeju-uzraudzibas-grupa,4,2023-05-15,17.05.2023,1500.0,2200.0,1,4,Rietumu Banka AS,https://www.cv.lv/lv/search/employer/rietumu-banka-as?employerId=9157&employerName=Rietumu Banka AS,1, Rīga, Rīgas rajons,Latvia
208,Database administrator (DBA),https://www.cv.lv/lv/vacancy/993400/sia-media-solutions/database-administrator-dba,60,2023-05-16,02.06.2023,4300.0,8000.0,1,60,SIA Media Solutions,https://www.cv.lv/lv/search/employer/sia-media-solutions?employerId=29979&employerName=SIA Media Solutions,1, Rīga, Rīgas rajons,Latvia
